Comment,Id,Language_Type,Part1,Part2b,Part2t,Ref_Name,Scope
,aaa,L,,,,Ghotuo,I
,aab,L,,,,Alumu-Tesu,I
,aac,L,,,,Ari,I
,aad,L,,,,Amal,I
,aae,L,,,,Arbëreshë Albanian,I
,aaf,L,,,,Aranadan,I
,aag,L,,,,Ambrak,I
,aah,L,,,,Abu' Arapesh,I
,aai,L,,,,Arifama-Miniafia,I
,aak,L,,,,Ankave,I
,aal,L,,,,Afade,I
,aan,L,,,,Anambé,I
,aao,L,,,,Algerian Saharan Arabic,I
,aap,L,,,,Pará Arára,I
,aaq,E,,,,Eastern Abnaki,I
,aar,L,aa,aar,aar,Afar,I
,aas,L,,,,Aasáx,I
,aat,L,,,,Arvanitika Albanian,I
,aau,L,,,,Abau,I
,aaw,L,,,,Solong,I
,aax,L,,,,Mandobo Atas,I
,aaz,L,,,,Amarasi,I
,aba,L,,,,Abé,I
,abb,L,,,,Bankon,I
,abc,L,,,,Ambala Ayta,I
,abd,L,,,,Manide,I
,abe,L,,,,Western Abnaki,I
,abf,L,,,,Abai Sungai,I
,abg,L,,,,Abaga,I
,abh,L,,,,Tajiki Arabic,I
,abi,L,,,,Abidji,I
,abj,E,,,,Aka-Bea,I
,abk,L,ab,abk,abk,Abkhazian,I
,abl,L,,,,Lampung Nyo,I
,abm,L,,,,Abanyom,I
,abn,L,,,,Abua,I
,abo,L,,,,Abon,I
,abp,L,,,,Abellen Ayta,I
,abq,L,,,,Abaza,I
,abr,L,,,,Abron,I
,abs,L,,,,Ambonese Malay,I
,abt,L,,,,Ambulas,I
,abu,L,,,,Abure,I
,abv,L,,,,Baharna Arabic,I
,abw,L,,,,Pal,I
,abx,L,,,,Inabaknon,I
,aby,L,,,,Aneme Wake,I
,abz,L,,,,Abui,I
,aca,L,,,,Achagua,I
,acb,L,,,,Áncá,I
,acd,L,,,,Gikyode,I
,ace,L,,ace,ace,Achinese,I
,acf,L,,,,Saint Lucian Creole French,I
,ach,L,,ach,ach,Acoli,I
,aci,E,,,,Aka-Cari,I
,ack,E,,,,Aka-Kora,I
,acl,E,,,,Akar-Bale,I
,acm,L,,,,Mesopotamian Arabic,I
,acn,L,,,,Achang,I
,acp,L,,,,Eastern Acipa,I
,acq,L,,,,Ta'izzi-Adeni Arabic,I
,acr,L,,,,Achi,I
,acs,E,,,,Acroá,I
,act,L,,,,Achterhoeks,I
,acu,L,,,,Achuar-Shiwiar,I
,acv,L,,,,Achumawi,I
,acw,L,,,,Hijazi Arabic,I
,acx,L,,,,Omani Arabic,I
,acy,L,,,,Cypriot Arabic,I
,acz,L,,,,Acheron,I
,ada,L,,ada,ada,Adangme,I
,adb,L,,,,Atauran,I
,add,L,,,,Lidzonka,I
,ade,L,,,,Adele,I
,adf,L,,,,Dhofari Arabic,I
,adg,L,,,,Andegerebinha,I
,adh,L,,,,Adhola,I
